129	2	2	46	3	2	0	0	1	0	0	1	0	0	1	3	2	4	0	0	1	1	4	5	4	4	5	4	1	1	1	1	3	4	5	1	4	2	3	2	3	5	2	2	1	1	1	3	4	5	1	2	4	4	3	4	3	1	1	1	1	1	3	4	4	3	4	2	2	2	2	3	1	1	1	1	1	3	4	4	3	2
130	1	2	48	3	2	0	0	1	1	0	0	0	1	0	-999	3	2	1	0	0	0	5	5	5	5	4	1	1	1	1	1	5	5	5	3	5	1	3	1	1	4	1	4	1	1	3	3	1	2	3	1	5	5	3	4	5	1	1	1	1	1	5	5	5	3	5	1	3	3	2	2	1	3	1	1	1	3	2	3	3	1
131	2	2	50	3	2	0	0	0	0	0	0	0	0	0	-999	3	2	0	0	1	0	1	3	1	1	1	1	1	1	1	1	4	3	3	3	1	3	3	3	3	3	3	3	3	3	1	4	3	3	3	5	1	5	3	2	3	4	3	3	1	3	3	3	3	4	1	4	3	3	3	3	1	3	1	1	3	3	3	3	3	5
133	2	2	51	3	2	0	0	1	1	0	1	0	1	1	3	3	2	1	1	1	1	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	4	3	3	4	3	3	3	3	3	4	4	4	3	3	3	3	3	3	4	3	3	3	3	3	4	4	4	3	3
134	2	2	53	3	2	0	0	1	1	0	1	0	1	1	5	3	1	1	0	1	0	5	4	4	5	4	1	1	1	1	2	4	4	4	4	4	1	2	1	1	2	4	5	3	3	4	2	2	2	2	2	4	4	4	4	4	3	2	3	3	2	4	4	4	3	4	2	2	2	2	2	2	3	2	2	3	2	2	2	2	2
137	2	2	57	3	2	0	0	1	1	1	1	0	1	1	5	3	2	1	1	1	0	3	5	3	4	4	4	3	3	3	3	4	4	4	3	4	3	3	3	3	4	2	3	3	3	3	2	2	2	3	2	3	5	3	3	4	5	3	4	5	4	4	4	4	3	4	3	1	3	3	3	1	3	3	3	3	1	4	4	3	4
138	1	2	60	3	2	0	0	1	1	0	0	0	1	0	3	3	4	1	0	1	0	5	3	3	4	3	1	2	1	2	2	4	5	5	5	5	3	3	3	3	3	2	2	1	2	2	4	4	5	5	4	3	4	3	2	3	1	2	2	2	1	4	3	3	2	4	3	3	3	2	3	1	3	2	2	1	4	4	4	2	4
145	2	2	27	2	1	0	0	0	0	0	0	0	0	0	3	3	2	1	0	1	0	5	5	4	3	2	1	3	4	1	3	3	4	2	2	1	2	2	2	3	5	5	3	1	4	3	3	2	4	5	5	1	5	3	3	1	5	4	4	4	4	1	2	2	2	1	5	2	3	3	5	1	2	2	3	3	5	5	5	5	5
146	1	2	29	2	1	0	0	0	0	0	0	0	0	0	3	3	2	1	0	1	0	3	4	3	2	3	2	3	2	2	2	3	4	4	4	3	3	4	3	2	3	2	3	2	2	2	3	4	4	4	3	4	3	2	2	3	2	4	2	2	3	3	3	3	4	3	4	3	2	2	3	2	4	2	2	3	3	3	3	4	3
148	1	2	34	2	1	0	0	1	1	0	0	0	1	0	-999	3	2	1	0	1	0	4	4	3	3	4	3	2	2	3	2	4	4	4	4	4	2	2	3	3	3	3	4	3	3	3	2	2	2	2	2	3	3	3	3	3	3	4	3	3	3	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	4	4	4	3	3
149	3	2	35	2	1	0	0	1	1	0	1	1	1	1	4	2	2	1	1	1	1	2	5	3	2	2	4	3	5	5	5	2	1	2	1	1	3	3	3	4	5	2	2	1	3	1	5	5	5	5	5	2	5	1	1	2	5	4	5	5	5	1	1	1	1	1	5	3	5	5	5	1	2	2	2	3	5	5	5	5	5
